2026-02-01 22:03:24.268 [INFO] [EVT] Session Started
2026-02-01 22:03:24.268 [INFO] [EVT] Client Connected: ('127.0.0.1', 59106)
2026-02-01 22:03:24.268 [INFO] [CMD ] Inquiry                   | CDB: 12 00 00 00 24 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.269 [INFO] [RES ] Inquiry                   | CDB: 12 00 00 00 24 00    | DATA: 03 00 00 00 1F 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.311 [LOG ] [CMD ] GetStatusSize             | CDB: CC 80 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.312 [LOG ] [RES ] GetStatusSize             | CDB: CC 80 00 00 04 00    | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.394 [INFO] [CMD ] GetHardwareID             | CDB: CC 81 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.395 [INFO] [RES ] GetHardwareID             | CDB: CC 81 00 00 04 00    | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.480 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.482 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.567 [LOG ] [CMD ] GetHTHeartbeat            | CDB: 02 00 00 00 00 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.569 [ERR ] [RES ] GetHTHeartbeat            | CDB: 02 00 00 00 00 00    | DATA: [Empty] -> Status=4
2026-02-01 22:03:24.615 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.617 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.735 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.737 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.822 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.823 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.908 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.909 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.994 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.995 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.079 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.080 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.161 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.162 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.245 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.246 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.330 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.330 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.413 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.414 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.500 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.502 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.587 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.588 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.675 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.676 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.761 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.763 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.911 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.912 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.018 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.019 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.125 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.126 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.233 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.233 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.340 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
